#!! Order of fields must be maintained  !! 

#== Template Version Info == 
#Version number
#major	minor
1	0

#== flags == 
#Created teams only flag (1=modify only created teams, 0=all teams)
1

#== Prototypes ==

## What RosterMaker uses for player attributes (name and number generation is hard-coded).
## RosterMaker randomly selects a prototype as a base for a player's attributes, then
## applies the random variance to the base attribute, then caps it with min and max
##
## Build is computed automatically using height, weight, and strength.
## For example, stocky height/weight combos, with low strength, make a player
## with high fat and low muscle.
##
## Overall is also computed automatically (though it won't always match the game's
## OVR calculations perfectly).

#QB prototypes
#htFt	htIN	wt	spd	agi	acc	str	awr	cth	car	jmp	btk	tak	thp	tha	rbk	pbk	kpw	kac	ret	inj	sta	tgh	imp
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6	4	225	65	65	65	65	85	50	50	65	65	50	90	90	50	50	50	50	50	85	85	70	80
6	2	200	75	75	75	55	80	50	60	75	75	50	80	95	50	50	50	50	50	85	85	55	75
6	0	190	85	85	85	45	70	60	75	85	60	50	85	70	50	50	50	50	50	85	85	67	80
6	6	240	55	55	55	75	75	50	50	60	85	50	95	85	50	50	50	50	50	85	85	85	75

#RB prototypes
#htFt	htIN	wt	spd	agi	acc	str	awr	cth	car	jmp	btk	tak	thp	tha	rbk	pbk	kpw	kac	ret	inj	sta	tgh	imp
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
5	8	195	90	95	95	85	70	70	80	80	75	50	50	50	50	55	50	50	75	85	85	75	75
6	1	225	90	80	85	85	70	60	85	70	90	50	50	50	55	60	50	50	65	85	85	85	75
6	0	200	95	95	95	85	70	85	75	90	65	50	50	50	45	50	50	50	85	85	85	65	75
5	11	250	85	85	80	85	70	55	85	65	95	50	50	50	60	65	50	50	60	85	85	90	75

#FB prototypes
#htFt	htIN	wt	spd	agi	acc	str	awr	cth	car	jmp	btk	tak	thp	tha	rbk	pbk	kpw	kac	ret	inj	sta	tgh	imp
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6	0	260	75	70	75	99	70	60	65	70	95	50	50	50	75	70	50	50	50	85	85	80	75
6	2	230	80	80	80	99	70	80	65	80	80	50	50	50	60	60	50	50	55	85	85	70	75

#WR prototypes
#htFt	htIN	wt	spd	agi	acc	str	awr	cth	car	jmp	btk	tak	thp	tha	rbk	pbk	kpw	kac	ret	inj	sta	tgh	imp
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6	0	195	95	95	95	80	70	90	60	90	50	50	50	50	50	50	50	50	80	85	85	55	75
6	5	225	90	85	85	80	70	90	65	90	70	50	50	50	55	55	50	50	65	85	85	65	75
5	9	175	95	99	99	80	70	85	50	95	50	50	50	50	50	50	50	50	95	85	85	60	75

#TE prototypes
#htFt	htIN	wt	spd	agi	acc	str	awr	cth	car	jmp	btk	tak	thp	tha	rbk	pbk	kpw	kac	ret	inj	sta	tgh	imp
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6	3	225	85	80	80	70	70	90	70	85	75	50	50	50	60	60	50	50	55	85	85	70	75
6	6	260	75	70	70	80	70	80	70	75	90	50	50	50	70	70	50	50	50	85	85	80	75

#OL prototypes
#htFt	htIN	wt	spd	agi	acc	str	awr	cth	car	jmp	btk	tak	thp	tha	rbk	pbk	kpw	kac	ret	inj	sta	tgh	imp
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6	7	320	60	50	55	95	75	50	50	65	50	50	50	50	85	85	50	50	50	85	85	85	75
6	3	295	65	55	60	90	75	50	50	65	50	50	50	50	90	80	50	50	50	85	85	90	75
